data;cidade;precipitacao
2010-09-30;FRUTAL;58,4
2010-10-31;FRUTAL;108,4
2010-11-30;FRUTAL;115,9
2010-12-31;FRUTAL;145,8
2011-01-31;FRUTAL;205,8
2011-02-28;FRUTAL;143,5
2011-03-31;FRUTAL;550
2011-04-30;FRUTAL;104,3
2011-05-31;FRUTAL;11
2011-06-30;FRUTAL;30,3
2011-07-31;FRUTAL;0
2011-08-31;FRUTAL;16,2
2011-09-30;FRUTAL;7,3
2011-10-31;FRUTAL;225,9
2011-11-30;FRUTAL;203,3
2011-12-31;FRUTAL;332,5
2012-01-31;FRUTAL;361,3
2012-02-29;FRUTAL;174,6
2012-03-31;FRUTAL;91,6
2012-04-30;FRUTAL;158,2
2012-05-31;FRUTAL;60,5
2012-06-30;FRUTAL;103,5
2012-07-31;FRUTAL;1,8
2012-08-31;FRUTAL;0
2012-09-30;FRUTAL;62,4
2012-10-31;FRUTAL;54,2
2012-11-30;FRUTAL;225,9
2012-12-31;FRUTAL;267,9
2007-01-31;SURUBIM;23,2
2007-02-28;SURUBIM;51,8
2007-03-31;SURUBIM;73,1
2007-04-30;SURUBIM;56,1
2007-05-31;SURUBIM;39,7
2007-06-30;SURUBIM;123
2007-07-31;SURUBIM;48,5
2007-08-31;SURUBIM;48,6
2007-09-30;SURUBIM;29,3
2007-10-31;SURUBIM;3,6
2007-11-30;SURUBIM;5,8
2007-12-31;SURUBIM;16,8
2008-01-31;SURUBIM;3,5
2008-02-29;SURUBIM;1,4
2008-03-31;SURUBIM;157,4
2008-04-30;SURUBIM;58,4
2008-05-31;SURUBIM;115,2
2008-06-30;SURUBIM;64,6
2008-07-31;SURUBIM;93,2
2008-08-31;SURUBIM;80,6
2008-09-30;SURUBIM;19,8
2008-10-31;SURUBIM;7
2008-11-30;SURUBIM;,4
2008-12-31;SURUBIM;1,9
2009-01-31;SURUBIM;9
2009-02-28;SURUBIM;136,9
2009-03-31;SURUBIM;44,7
2009-04-30;SURUBIM;36,6
2009-05-31;SURUBIM;95,3
2009-06-30;SURUBIM;69,2
2009-07-31;SURUBIM;52,9
2009-08-31;SURUBIM;49,7
2009-09-30;SURUBIM;15,8
2009-10-31;SURUBIM;,3
2009-11-30;SURUBIM;16,4
2009-12-31;SURUBIM;12,6
2010-01-31;SURUBIM;111,8
2010-02-28;SURUBIM;43,5
2010-03-31;SURUBIM;25
2010-04-30;SURUBIM;92,8
2010-05-31;SURUBIM;39
2010-06-30;SURUBIM;249
2010-07-31;SURUBIM;38,9
2010-08-31;SURUBIM;51
2010-09-30;SURUBIM;25,7
2010-10-31;SURUBIM;7,7
2010-11-30;SURUBIM;2,9
2010-12-31;SURUBIM;45,7
2011-01-31;SURUBIM;70,3
2011-02-28;SURUBIM;35,4
2011-03-31;SURUBIM;71,2
2011-04-30;SURUBIM;174,3
2011-05-31;SURUBIM;184,3
2011-06-30;SURUBIM;97,3
2011-07-31;SURUBIM;120,1
2011-08-31;SURUBIM;62,6
2011-09-30;SURUBIM;13,9
2011-10-31;SURUBIM;11
2011-11-30;SURUBIM;15,8
2011-12-31;SURUBIM;3,2
2012-01-31;SURUBIM;71,8
2012-02-29;SURUBIM;48,9
2012-03-31;SURUBIM;6,1
2012-04-30;SURUBIM;3,5
2012-05-31;SURUBIM;46,4
2012-06-30;SURUBIM;95,1
2012-07-31;SURUBIM;59,3
2012-08-31;SURUBIM;29,2
2012-09-30;SURUBIM;1,9
2012-10-31;SURUBIM;4,3
2012-11-30;SURUBIM;1,4
2012-12-31;SURUBIM;9
2007-01-31;JUIZ DE FORA;589,2
2007-02-28;JUIZ DE FORA;37
2007-03-31;JUIZ DE FORA;159,2
2007-04-30;JUIZ DE FORA;50
2007-05-31;JUIZ DE FORA;36,5
2007-06-30;JUIZ DE FORA;5,6
2007-07-31;JUIZ DE FORA;5,8
2007-08-31;JUIZ DE FORA;,8
2007-09-30;JUIZ DE FORA;6,4
2007-10-31;JUIZ DE FORA;111,6
2007-11-30;JUIZ DE FORA;176,4
2007-12-31;JUIZ DE FORA;284,2
2008-01-31;JUIZ DE FORA;301,5
2008-02-29;JUIZ DE FORA;323,7
2008-03-31;JUIZ DE FORA;327,4
2008-04-30;JUIZ DE FORA;127,6
2008-05-31;JUIZ DE FORA;4
2008-06-30;JUIZ DE FORA;33,4
2008-07-31;JUIZ DE FORA;0
2008-08-31;JUIZ DE FORA;4,8
2008-09-30;JUIZ DE FORA;64,7
2008-10-31;JUIZ DE FORA;200,9
2008-11-30;JUIZ DE FORA;266
2008-12-31;JUIZ DE FORA;480,6
2009-01-31;JUIZ DE FORA;187,1
2009-02-28;JUIZ DE FORA;260,7
2009-03-31;JUIZ DE FORA;238,8
2009-04-30;JUIZ DE FORA;73,3
2009-05-31;JUIZ DE FORA;15,8
2009-06-30;JUIZ DE FORA;26
2009-07-31;JUIZ DE FORA;36
2009-08-31;JUIZ DE FORA;6
2009-09-30;JUIZ DE FORA;54,3
2009-10-31;JUIZ DE FORA;296,8
2009-11-30;JUIZ DE FORA;280,8
2009-12-31;JUIZ DE FORA;479,3
2010-01-31;JUIZ DE FORA;272,8
2010-02-28;JUIZ DE FORA;76,7
2010-03-31;JUIZ DE FORA;366,9
2010-04-30;JUIZ DE FORA;104,1
2010-05-31;JUIZ DE FORA;46,4
2010-06-30;JUIZ DE FORA;0
